,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
381,Paul,Uni.,60600000.0,2011.0,58.0,"Mar 18, 2011",Paul,40000000.0,37412945.0,101162106.0,0.935323625,1.515,2.52905265
382,Scream 4,W/Dim.,59000000.0,2011.0,55.0,"Apr 15, 2011",Scream 4,40000000.0,38180928.0,95989590.0,0.9545232,1.475,2.39973975
383,Insidious,FD,43000000.0,2011.0,63.0,"Apr 1, 2011",Insidious,1500000.0,54009150.0,99870886.0,36.0061,28.666666666666668,66.58059066666667
384,The Rite,WB (NL),63000000.0,2011.0,100.0,"Jan 28, 2011",The Rite,37000000.0,33047633.0,97143987.0,0.8931792702702702,1.7027027027027026,2.625513162162162
385,Dolphin Tale,WB,23100000.0,2011.0,93.0,"Sep 23, 2011",Dolphin Tale,37000000.0,72286779.0,96068724.0,1.9536967297297296,0.6243243243243243,2.596452
386,Season of the Witch,Rela.,66800000.0,2011.0,89.0,"Jan 7, 2011",Season of the Witch,40000000.0,24827228.0,91126600.0,0.6206807,1.67,2.278165
387,Sucker Punch,WB,53400000.0,2011.0,62.0,"Mar 25, 2011",Sucker Punch,75000000.0,36392502.0,89758389.0,0.48523336,0.712,1.19677852
388,Red Riding Hood,WB,51500000.0,2011.0,55.0,"Mar 11, 2011",Red Riding Hood,42000000.0,37662162.0,91678442.0,0.8967181428571429,1.2261904761904763,2.182820047619048
389,Spy Kids: All the Time in the World,W/Dim.,47000000.0,2011.0,100.0,"Aug 19, 2011",Spy Kids: All the Time in the World,27000000.0,38536376.0,80681183.0,1.4272731851851852,1.7407407407407407,2.9881919629629627
390,J. Edgar,WB,47600000.0,2011.0,76.0,"Nov 9, 2011",J. Edgar,35000000.0,37306030.0,84606030.0,1.0658865714285715,1.36,2.417315142857143
391,Hall Pass,WB (NL),38100000.0,2011.0,57.0,"Feb 25, 2011",Hall Pass,68000000.0,45060734.0,87173475.0,0.6626578529411765,0.5602941176470588,1.281962867647059
393,Abduction,LGF,54000000.0,2011.0,96.0,"Sep 23, 2011",Abduction,35000000.0,28087155.0,86648359.0,0.8024901428571428,1.542857142857143,2.4756674
394,Tinker Tailor Soldier Spy,Focus,56500000.0,2011.0,72.0,"Dec 9, 2011",Tinker Tailor Soldier Spy,21000000.0,24149393.0,81452811.0,1.1499710952380953,2.6904761904761907,3.8787052857142856
395,Priest,SGem,49200000.0,2011.0,29.0,"May 13, 2011",Priest,60000000.0,29136626.0,84154026.0,0.4856104333333333,0.82,1.4025671
397,The Mechanic,CBS,47000000.0,2011.0,42.0,"Jan 28, 2011",The Mechanic,42500000.0,29121498.0,76347393.0,0.6852117176470588,1.1058823529411765,1.7964092470588235
398,The Ides of March,Sony,35000000.0,2011.0,76.0,"Oct 7, 2011",The Ides of March,23000000.0,40962534.0,77735925.0,1.7809797391304347,1.5217391304347827,3.3798228260869565
399,The Change-Up,Uni.,38400000.0,2011.0,72.0,"Aug 5, 2011",The Change-Up,52000000.0,37243418.0,75997067.0,0.7162195769230769,0.7384615384615385,1.4614820576923078
400,The Lincoln Lawyer,LGF,17000000.0,2011.0,25.0,"Mar 18, 2011",The Lincoln Lawyer,40000000.0,58009200.0,87145086.0,1.45023,0.425,2.17862715
401,Diary of a Wimpy Kid: Rodrick Rules,Fox,19700000.0,2011.0,80.0,"Mar 25, 2011",Diary of a Wimpy Kid: Rodrick Rules,18000000.0,52698535.0,73695194.0,2.9276963888888887,1.0944444444444446,4.094177444444444
402,Larry Crowne,Uni.,36400000.0,2011.0,25.0,"Jul 1, 2011",Larry Crowne,30000000.0,35608245.0,61449135.0,1.1869415,1.2133333333333334,2.0483045
403,The Dilemma,Uni.,21200000.0,2011.0,25.0,"Jan 14, 2011",The Dilemma,70000000.0,48475290.0,70546865.0,0.6925041428571429,0.3028571428571429,1.0078123571428572
404,The Darkest Hour,Sum.,43200000.0,2011.0,58.0,"Dec 25, 2011",The Darkest Hour,34800000.0,21443494.0,62831715.0,0.6161923563218391,1.2413793103448276,1.805509051724138
405,Hanna,Focus,23500000.0,2011.0,14.0,"Apr 8, 2011",Hanna,30000000.0,40259119.0,65343694.0,1.3419706333333334,0.7833333333333333,2.1781231333333335
408,Colombiana,TriS,24300000.0,2011.0,60.0,"Aug 26, 2011",Colombiana,40000000.0,36665854.0,72295262.0,0.91664635,0.6075,1.80738155
409,Something Borrowed,WB,21100000.0,2011.0,72.0,"May 6, 2011",Something Borrowed,35000000.0,39046489.0,65084116.0,1.1156139714285713,0.6028571428571429,1.8595461714285715
410,One Day,Focus,45500000.0,2011.0,84.0,"Aug 19, 2011",One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
412,Killer Elite,ORF,31300000.0,2011.0,38.0,"Sep 23, 2011",Killer Elite,70000000.0,25124986.0,65409046.0,0.3589283714285714,0.4471428571428571,0.9344149428571429
414,The Tree of Life,FoxS,41000000.0,2011.0,24.0,"May 27, 2011",The Tree of Life,35000000.0,13305665.0,61721826.0,0.38016185714285716,1.1714285714285715,1.7634807428571428
417,Winnie the Pooh,BV,23200000.0,2011.0,39.0,"Jul 15, 2011",Winnie the Pooh,30000000.0,26692846.0,50145607.0,0.8897615333333333,0.7733333333333333,1.6715202333333334
419,Soul Surfer,TriS,3200000.0,2011.0,83.0,"Apr 8, 2011",Soul Surfer,18000000.0,43853424.0,47158652.0,2.436301333333333,0.17777777777777778,2.6199251111111113
422,The Debt,Focus,14500000.0,2011.0,65.0,"Aug 31, 2011",The Debt,20000000.0,31177548.0,46604054.0,1.5588774,0.725,2.3302027
423,Beastly,CBS,15300000.0,2011.0,87.0,"Mar 4, 2011",Beastly,17000000.0,27865571.0,38028230.0,1.6391512352941175,0.9,2.236954705882353
428,30 Minutes or Less,Sony,3500000.0,2011.0,60.0,"Aug 12, 2011",30 Minutes or Less,28000000.0,37053924.0,40966716.0,1.3233544285714285,0.125,1.463097
429,The Roommate,SGem,3200000.0,2011.0,39.0,"Feb 4, 2011",The Roommate,16000000.0,37300107.0,52545707.0,2.3312566875,0.2,3.2841066875
430,Shark Night 3D,Rela.,21300000.0,2011.0,52.0,"Sep 2, 2011",Shark Night 3D,25000000.0,18877153.0,18877153.0,0.75508612,0.852,0.75508612
431,Monte Carlo,Fox,16500000.0,2011.0,84.0,"Jul 1, 2011",Monte Carlo,20000000.0,23186769.0,39686769.0,1.15933845,0.825,1.98433845
432,50/50,Sum.,4200000.0,2011.0,73.0,"Sep 30, 2011",50/50,8000000.0,35016118.0,41334735.0,4.37701475,0.525,5.166841875
433,Mars Needs Moms,BV,17600000.0,2011.0,94.0,"Mar 11, 2011",Mars Needs Moms,150000000.0,21392758.0,39549758.0,0.14261838666666668,0.11733333333333333,0.26366505333333334
434,Dream House,Uni.,17200000.0,2011.0,80.0,"Sep 30, 2011",Dream House,50000000.0,21302340.0,41642166.0,0.4260468,0.344,0.83284332
435,Jumping the Broom,TriS,415000.0,2011.0,93.0,"May 6, 2011",Jumping the Broom,7000000.0,37295394.0,38158601.0,5.327913428571429,0.05928571428571429,5.4512287142857145
