,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
55,110.0,Comedy,The Bounty Hunter,69300000.0,The Bounty Hunter,45000000.0,67061228.0,135808837.0,1.4902495111111111,1.54,3.0179741555555557
55,110.0,Romance,The Bounty Hunter,69300000.0,The Bounty Hunter,45000000.0,67061228.0,135808837.0,1.4902495111111111,1.54,3.0179741555555557
56,,,The Bounty Hunter,69300000.0,The Bounty Hunter,45000000.0,67061228.0,135808837.0,1.4902495111111111,1.54,3.0179741555555557
58,140.0,Action,The Karate Kid,182500000.0,The Karate Kid,40000000.0,176591618.0,351774938.0,4.41479045,4.5625,8.79437345
58,140.0,Drama,The Karate Kid,182500000.0,The Karate Kid,40000000.0,176591618.0,351774938.0,4.41479045,4.5625,8.79437345
58,140.0,Family,The Karate Kid,182500000.0,The Karate Kid,40000000.0,176591618.0,351774938.0,4.41479045,4.5625,8.79437345
59,140.0,Action,The Karate Kid,182500000.0,The Karate Kid,8000000.0,90815558.0,90815558.0,11.35194475,22.8125,11.35194475
59,140.0,Drama,The Karate Kid,182500000.0,The Karate Kid,8000000.0,90815558.0,90815558.0,11.35194475,22.8125,11.35194475
59,140.0,Family,The Karate Kid,182500000.0,The Karate Kid,8000000.0,90815558.0,90815558.0,11.35194475,22.8125,11.35194475
63,103.0,Drama,Never Let Me Go,7000000.0,Never Let Me Go,15000000.0,2434652.0,11173718.0,0.16231013333333333,0.4666666666666667,0.7449145333333334
63,103.0,Romance,Never Let Me Go,7000000.0,Never Let Me Go,15000000.0,2434652.0,11173718.0,0.16231013333333333,0.4666666666666667,0.7449145333333334
63,103.0,Sci-Fi,Never Let Me Go,7000000.0,Never Let Me Go,15000000.0,2434652.0,11173718.0,0.16231013333333333,0.4666666666666667,0.7449145333333334
64,108.0,Action,Pride and Prejudice and Zombies,5500000.0,Pride and Prejudice and Zombies,28000000.0,10907291.0,16638300.0,0.38954610714285715,0.19642857142857142,0.594225
64,108.0,Comedy,Pride and Prejudice and Zombies,5500000.0,Pride and Prejudice and Zombies,28000000.0,10907291.0,16638300.0,0.38954610714285715,0.19642857142857142,0.594225
64,108.0,Horror,Pride and Prejudice and Zombies,5500000.0,Pride and Prejudice and Zombies,28000000.0,10907291.0,16638300.0,0.38954610714285715,0.19642857142857142,0.594225
65,105.0,Comedy,You Again,6300000.0,You Again,20000000.0,25702053.0,32838945.0,1.28510265,0.315,1.64194725
65,105.0,Family,You Again,6300000.0,You Again,20000000.0,25702053.0,32838945.0,1.28510265,0.315,1.64194725
65,105.0,Romance,You Again,6300000.0,You Again,20000000.0,25702053.0,32838945.0,1.28510265,0.315,1.64194725
66,110.0,Crime,The Raven,13600000.0,The Raven,26000000.0,16008272.0,30601801.0,0.6157027692307693,0.5230769230769231,1.176992346153846
66,110.0,Mystery,The Raven,13600000.0,The Raven,26000000.0,16008272.0,30601801.0,0.6157027692307693,0.5230769230769231,1.176992346153846
66,110.0,Thriller,The Raven,13600000.0,The Raven,26000000.0,16008272.0,30601801.0,0.6157027692307693,0.5230769230769231,1.176992346153846
68,106.0,Biography,Danny Collins,5200000.0,Danny Collins,10000000.0,5637066.0,8465845.0,0.5637066,0.52,0.8465845
68,106.0,Comedy,Danny Collins,5200000.0,Danny Collins,10000000.0,5637066.0,8465845.0,0.5637066,0.52,0.8465845
68,106.0,Drama,Danny Collins,5200000.0,Danny Collins,10000000.0,5637066.0,8465845.0,0.5637066,0.52,0.8465845
73,98.0,Action,Wild Target,3300000.0,Wild Target,8000000.0,109338.0,5314194.0,0.01366725,0.4125,0.66427425
73,98.0,Comedy,Wild Target,3300000.0,Wild Target,8000000.0,109338.0,5314194.0,0.01366725,0.4125,0.66427425
73,98.0,Crime,Wild Target,3300000.0,Wild Target,8000000.0,109338.0,5314194.0,0.01366725,0.4125,0.66427425
78,130.0,Action,12 Strong,21600000.0,12 Strong,35000000.0,45819713.0,71118378.0,1.309134657142857,0.6171428571428571,2.031953657142857
78,130.0,Drama,12 Strong,21600000.0,12 Strong,35000000.0,45819713.0,71118378.0,1.309134657142857,0.6171428571428571,2.031953657142857
78,130.0,History,12 Strong,21600000.0,12 Strong,35000000.0,45819713.0,71118378.0,1.309134657142857,0.6171428571428571,2.031953657142857
79,107.0,Drama,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
79,107.0,Romance,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
80,90.0,Family,One Day,45500000.0,One Day,15000000.0,13843771.0,59168692.0,0.9229180666666666,3.033333333333333,3.9445794666666667
