,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
543,140.0,Drama,Red Sparrow,104700000.0,Red Sparrow,69000000.0,46874505.0,145951861.0,0.679340652173913,1.517391304347826,2.1152443623188404
543,140.0,Thriller,Red Sparrow,104700000.0,Red Sparrow,69000000.0,46874505.0,145951861.0,0.679340652173913,1.517391304347826,2.1152443623188404
549,91.0,Comedy,Jack and Jill,75500000.0,Jack and Jill,79000000.0,74158157.0,150519217.0,0.9387108481012658,0.9556962025316456,1.9053065443037975
556,118.0,Drama,Fifty Shades Darker,267000000.0,Fifty Shades Darker,55000000.0,114434010.0,381398492.0,2.0806183636363635,4.8545454545454545,6.934518036363636
556,118.0,Romance,Fifty Shades Darker,267000000.0,Fifty Shades Darker,55000000.0,114434010.0,381398492.0,2.0806183636363635,4.8545454545454545,6.934518036363636
557,169.0,Adventure,Interstellar,489400000.0,Interstellar,165000000.0,188017894.0,666379375.0,1.1395023878787878,2.966060606060606,4.038662878787878
557,169.0,Drama,Interstellar,489400000.0,Interstellar,165000000.0,188017894.0,666379375.0,1.1395023878787878,2.966060606060606,4.038662878787878
557,169.0,Sci-Fi,Interstellar,489400000.0,Interstellar,165000000.0,188017894.0,666379375.0,1.1395023878787878,2.966060606060606,4.038662878787878
558,115.0,Action,Green Zone,59800000.0,Green Zone,100000000.0,35497337.0,97523020.0,0.35497337,0.598,0.9752302
558,115.0,Drama,Green Zone,59800000.0,Green Zone,100000000.0,35497337.0,97523020.0,0.35497337,0.598,0.9752302
558,115.0,Thriller,Green Zone,59800000.0,Green Zone,100000000.0,35497337.0,97523020.0,0.35497337,0.598,0.9752302
561,130.0,Action,Iron Man 3,805800000.0,Iron Man 3,200000000.0,408992272.0,1215392272.0,2.04496136,4.029,6.07696136
561,130.0,Adventure,Iron Man 3,805800000.0,Iron Man 3,200000000.0,408992272.0,1215392272.0,2.04496136,4.029,6.07696136
561,130.0,Sci-Fi,Iron Man 3,805800000.0,Iron Man 3,200000000.0,408992272.0,1215392272.0,2.04496136,4.029,6.07696136
563,172.0,Action,Cloud Atlas,103400000.0,Cloud Atlas,102000000.0,27108272.0,130673154.0,0.2657673725490196,1.0137254901960784,1.2811093529411766
563,172.0,Drama,Cloud Atlas,103400000.0,Cloud Atlas,102000000.0,27108272.0,130673154.0,0.2657673725490196,1.0137254901960784,1.2811093529411766
563,172.0,Mystery,Cloud Atlas,103400000.0,Cloud Atlas,102000000.0,27108272.0,130673154.0,0.2657673725490196,1.0137254901960784,1.2811093529411766
565,104.0,Adventure,Monsters University,475700000.0,Monsters University,200000000.0,268488329.0,743588329.0,1.342441645,2.3785,3.717941645
565,104.0,Animation,Monsters University,475700000.0,Monsters University,200000000.0,268488329.0,743588329.0,1.342441645,2.3785,3.717941645
565,104.0,Comedy,Monsters University,475700000.0,Monsters University,200000000.0,268488329.0,743588329.0,1.342441645,2.3785,3.717941645
566,105.0,Biography,The Greatest Showman,260700000.0,The Greatest Showman,84000000.0,174340174.0,386665550.0,2.075478261904762,3.1035714285714286,4.603161309523809
566,105.0,Drama,The Greatest Showman,260700000.0,The Greatest Showman,84000000.0,174340174.0,386665550.0,2.075478261904762,3.1035714285714286,4.603161309523809
566,105.0,Musical,The Greatest Showman,260700000.0,The Greatest Showman,84000000.0,174340174.0,386665550.0,2.075478261904762,3.1035714285714286,4.603161309523809
575,105.0,Comedy,Hall Pass,38100000.0,Hall Pass,68000000.0,45060734.0,87173475.0,0.6626578529411765,0.5602941176470588,1.281962867647059
575,105.0,Romance,Hall Pass,38100000.0,Hall Pass,68000000.0,45060734.0,87173475.0,0.6626578529411765,0.5602941176470588,1.281962867647059
576,93.0,Adventure,The Good Dinosaur,209100000.0,The Good Dinosaur,187500000.0,123087120.0,333771037.0,0.65646464,1.1152,1.7801121973333334
576,93.0,Animation,The Good Dinosaur,209100000.0,The Good Dinosaur,187500000.0,123087120.0,333771037.0,0.65646464,1.1152,1.7801121973333334
576,93.0,Comedy,The Good Dinosaur,209100000.0,The Good Dinosaur,187500000.0,123087120.0,333771037.0,0.65646464,1.1152,1.7801121973333334
577,121.0,Action,Guardians of the Galaxy,440200000.0,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,1.9598359529411764,2.5894117647058823,4.5345148
577,121.0,Adventure,Guardians of the Galaxy,440200000.0,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,1.9598359529411764,2.5894117647058823,4.5345148
577,121.0,Comedy,Guardians of the Galaxy,440200000.0,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,1.9598359529411764,2.5894117647058823,4.5345148
579,95.0,Adventure,Inside Out,501100000.0,Inside Out,175000000.0,356461711.0,854235992.0,2.036924062857143,2.8634285714285714,4.8813485257142855
