,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
5525,,,,,9.0,"Mar 13, 1987",Evil Dead II,3500000.0,5923044.0,5926177.0,1.6922982857142856,,1.6931934285714285
5526,,,,,10.0,"Jun 30, 1985",Day of the Dead,3500000.0,5804262.0,34004262.0,1.6583605714285714,,9.715503428571429
5527,,,,,11.0,"May 18, 2018",First Reformed,3500000.0,3448256.0,3874772.0,0.985216,,1.1070777142857142
5528,,,,,12.0,"Jun 29, 2001",Pootie Tang,3500000.0,3293258.0,3293258.0,0.9409308571428572,,0.9409308571428572
5529,,,,,13.0,"Dec 2, 2016",Believe,3500000.0,890303.0,890303.0,0.2543722857142857,,0.2543722857142857
5530,,,,,14.0,"Apr 19, 2000",La otra conquista,3500000.0,886410.0,886410.0,0.25326,,0.25326
5531,,,,,16.0,"Mar 18, 2016",The Bronze,3500000.0,615816.0,615816.0,0.17594742857142856,,0.17594742857142856
5532,,,,,17.0,"Jun 10, 2011",Trolljegeren,3500000.0,253444.0,5706638.0,0.07241257142857142,,1.630468
5533,,,,,18.0,"Sep 14, 2007",Ira and Abby,3500000.0,221096.0,221096.0,0.06317028571428572,,0.06317028571428572
5534,,,,,19.0,"Jan 8, 2016",The Masked Saint,3500000.0,182695.0,182695.0,0.05219857142857143,,0.05219857142857143
5535,,,,,20.0,"Feb 17, 2006",Winter Passing,3500000.0,107492.0,113783.0,0.030712,,0.03250942857142857
5536,,,,,21.0,"Mar 25, 2005",D.E.B.S.,3500000.0,96793.0,96793.0,0.027655142857142857,,0.027655142857142857
5537,,,,,22.0,"Jun 3, 2016",Time to Choose,3500000.0,29233.0,29233.0,0.008352285714285715,,0.008352285714285715
5538,,,,,23.0,"Jun 26, 2009",Surveillance,3500000.0,27349.0,1396395.0,0.007814,,0.39897
5539,,,,,24.0,"Sep 17, 1999",Taxman,3500000.0,9871.0,9871.0,0.0028202857142857144,,0.0028202857142857144
5540,,,,,25.0,"Dec 31, 2011",The Kick,3500000.0,0.0,40622.0,0.0,,0.011606285714285715
5541,,,,,33.0,"May 17, 2013",Jagten,3450000.0,687185.0,18309793.0,0.1991840579710145,,5.307186376811594
5542,,,,,35.0,"Jun 24, 2005",La marche de l'empereur,3400000.0,77437223.0,133276359.0,22.77565382352941,,39.19892911764706
5543,,,,,36.0,"Dec 23, 1977",High Anxiety,3400000.0,31063038.0,31063038.0,9.136187647058824,,9.136187647058824
5544,,,,,38.0,"Sep 26, 2008",Choke,3400000.0,2926565.0,4124277.0,0.8607544117647059,,1.2130226470588235
5545,,,,,39.0,"Apr 23, 2004",L\'incomparable mademoiselle C.,3400000.0,493905.0,493905.0,0.14526617647058823,,0.14526617647058823
5546,,,,,40.0,"Jul 11, 2008",August,3400000.0,12636.0,12636.0,0.003716470588235294,,0.003716470588235294
5547,,,,,42.0,"Feb 16, 1956",Carousel,3380000.0,0.0,3604.0,0.0,,0.0010662721893491124
5548,,,,,44.0,"Oct 26, 2007",Bella,3300000.0,8093373.0,12405473.0,2.4525372727272727,,3.7592342424242426
5549,,,,,45.0,"Jan 17, 2003",Cidade de Deus,3300000.0,7563397.0,32059295.0,2.291938484848485,,9.714937878787879
5550,,,,,46.0,"May 5, 2000",Human Traffic,3300000.0,104257.0,5422740.0,0.0315930303030303,,1.6432545454545455
5551,,,,,47.0,"Dec 29, 2006",The Dead Girl,3300000.0,19875.0,19875.0,0.0060227272727272725,,0.0060227272727272725
5552,,,,,48.0,"Jan 20, 2015",The Opposite Sex,3300000.0,0.0,50206.0,0.0,,0.015213939393939394
5553,,,,,49.0,"Nov 18, 1983",A Christmas Story,3250000.0,20605209.0,20605209.0,6.340064307692308,,6.340064307692308
5554,,,,,50.0,"Aug 20, 1982",Class of 1984,3250000.0,6965361.0,6965361.0,2.143188,,2.143188
5555,,,,,51.0,"Jan 30, 2009",Entre les murs,3250000.0,3766810.0,34114067.0,1.1590184615384616,,10.496636
5556,,,,,52.0,"Oct 29, 1999",Dreaming of Joseph Lees,3250000.0,7680.0,7680.0,0.002363076923076923,,0.002363076923076923
5557,,,,,53.0,"Jun 12, 1968",Rosemary's Baby,3200000.0,33395426.0,33395426.0,10.436070625,,10.436070625
5558,,,,,54.0,"Jul 6, 2018",Sorry to Bother You,3200000.0,17493096.0,18285560.0,5.4665925,,5.7142375
5559,,,,,55.0,"Apr 22, 1962",The Man Who Shot Liberty Valance,3200000.0,8000000.0,8000000.0,2.5,,2.5
5560,,,,,56.0,"Jul 16, 2004",Maria Full of Grace,3200000.0,6529624.0,14441158.0,2.0405075,,4.512861875
5561,,,,,58.0,"Apr 22, 2016",The Meddler,3200000.0,4267219.0,5526942.0,1.3335059375,,1.727169375
5562,,,,,59.0,"Jul 29, 2009",Adam,3200000.0,2283291.0,2834485.0,0.7135284375,,0.8857765625
5563,,,,,60.0,"Sep 22, 2006",Feast,3200000.0,56131.0,690872.0,0.0175409375,,0.2158975
5564,,,,,61.0,"Dec 20, 1946",Itâs a Wonderful Life,3180000.0,6600000.0,10768908.0,2.0754716981132075,,3.3864490566037735
5565,,,,,62.0,"Jul 19, 1996",Trainspotting,3100000.0,16501785.0,71558971.0,5.3231564516129035,,23.083539032258063
5566,,,,,63.0,"Apr 12, 2013",Antiviral,3100000.0,0.0,123407.0,0.0,,0.039808709677419354
